,user_id,leaderboard_count,username
0,3792472,32,Woey
1,7601598,19,domplayer
2,6502403,47,Lilily
3,6404027,7,Bartek22830
4,6373382,15,AmericanPenguin
5,9119507,16,Dada
6,12534498,3,Geuse
7,4384207,2,DigitalHypno
8,959763,1,Flask
9,6362900,2,mook
10,6399568,1,YokesPai
11,7119659,2,Amuro
12,6036351,2,M I L E S
13,1874761,1,hallowatcher
14,9622163,2,sut_son
15,7010761,1,Kingling
16,5155973,3,Rizer
17,3543130,1,twoj stary
18,4844496,1,Conyoh
19,3274346,1,Blairzey
20,7910282,1,ddm
21,4595465,1,lespi6
22,5370153,4,Exarch
23,4497691,1,Fangzy
24,7959222,1,majoreh
25,7941423,0,chezbananas
26,4732944,0,ChitogeOP
27,3696423,0,not very smart
28,3181083,0,AJT
29,4262229,0,sinn
30,4899393,0,pajwoj
31,2212941,0,Pein
32,8170186,0,twoja stara
33,2803031,0,Vinswag
34,8185366,0,Best459
35,6119147,0,SlimeDrippy
36,3898396,0,Eddie-
37,2395405,0,Marek Marucha
38,4909088,0,Will Stetson
39,7031287,0,Yuuki-chan
