,beatmapset_id,beatmap_id,approved,total_length,hit_length,version,file_md5,diff_size,diff_overall,diff_approach,diff_drain,mode,count_normal,count_slider,count_spinner,submit_date,approved_date,last_update,artist,title,creator,creator_id,bpm,source,tags,genre_id,language_id,favourite_count,rating,download_unavailable,audio_unavailable,playcount,passcount,max_combo,diff_aim,diff_speed,difficultyrating
0,13169,48886,1,143,143,Normal,eea6370846f8d4e7a1a88b8d595d2d7b,4,4,4,3,0,90,83,0,2010-02-16 22:27:54,2010-06-02 18:15:18,2010-05-21 22:15:47,07th Expansion,Aci-L,AngelHoney,104401,162,Umineko no Naku Koro ni,ep5 -45 iidx ignorethis AHO,2,3,77,9.00716,0,0,53977,21832,368,0.7514411807060242,0.8372550010681152,1.6316031217575073
1,13169,51000,1,143,114,Hard,004177e4606cb0d1e45cd111c4823805,5,6,6,4,0,143,138,0,2010-02-16 22:27:54,2010-06-02 18:15:18,2010-05-21 22:15:47,07th Expansion,Aci-L,AngelHoney,104401,162,Umineko no Naku Koro ni,ep5 -45 iidx ignorethis AHO,2,3,77,9.00716,0,0,68923,12118,637,1.8135043382644653,1.6148117780685425,3.5276622772216797
2,13169,49612,1,143,131,ignore's Insane,b261b27d536c93cd0db9ba9671715718,4,8,8,6,0,434,168,1,2010-02-16 22:27:54,2010-06-02 18:15:18,2010-05-21 22:15:47,07th Expansion,Aci-L,AngelHoney,104401,162,Umineko no Naku Koro ni,ep5 -45 iidx ignorethis AHO,2,3,77,9.00716,0,0,104866,15147,807,2.178722381591797,2.343822956085205,4.605095386505127
3,14208,52922,1,59,34,Kyojinhei,db3783d8fc11d6924ae32ee001af5309,3,3,3,3,0,15,8,4,2010-03-23 13:35:12,2010-04-26 08:10:03,2010-04-23 03:21:06,07th Expansion,Akai Tsukunise,soulfear,226171,174.98,Umineko no Naku Koro ni,ep3 beatrice vs virgilia lepidopodus lepidon! Akai Kutsunise,2,5,152,9.02301,0,0,141018,84105,43,0.5287078022956848,0.548048734664917,1.0864269733428955
4,14208,52372,1,62,38,Kami no Tate,5ae8ba27cb94613b202305396204fa38,3,4,4,3,0,25,30,4,2010-03-23 13:35:12,2010-04-26 08:10:03,2010-04-23 03:21:06,07th Expansion,Akai Tsukunise,soulfear,226171,174.98,Umineko no Naku Koro ni,ep3 beatrice vs virgilia lepidopodus lepidon! Akai Kutsunise,2,5,152,9.02301,0,0,94096,50057,91,0.8019167184829712,0.8893679976463318,1.7350103855133057
5,14208,52352,1,226,177,Smothered Mate,45470516e80619c5cd0bde6099debdaa,4,8,8,5,0,272,215,13,2010-03-23 13:35:12,2010-04-26 08:10:03,2010-04-23 03:21:06,07th Expansion,Akai Tsukunise,soulfear,226171,174.98,Umineko no Naku Koro ni,ep3 beatrice vs virgilia lepidopodus lepidon! Akai Kutsunise,2,5,152,9.02301,0,0,123780,14117,740,1.8553063869476318,1.9345991611480713,3.829551935195923
6,14208,52128,1,240,191,Souken no Tou,872b19d66a4011ff2d01481cc81a1295,5,8,8,5,0,386,262,13,2010-03-23 13:35:12,2010-04-26 08:10:03,2010-04-23 03:21:06,07th Expansion,Akai Tsukunise,soulfear,226171,174.98,Umineko no Naku Koro ni,ep3 beatrice vs virgilia lepidopodus lepidon! Akai Kutsunise,2,5,152,9.02301,0,0,120963,21154,953,1.9924242496490479,2.2439050674438477,4.362070083618164
7,27852,93382,1,138,101,Easy,6b12ffb48497bd9d8b682cf85846c297,3,3,3,3,0,42,68,3,2011-03-23 16:28:12,2011-04-22 12:41:18,2011-04-08 08:11:07,07th Expansion,Birth of New Witch (Instrumental),Lanttu,57448,184,Umineko no Naku Koro ni Chiru,ep6 luck ganriki yunacat,3,5,197,9.49068,0,0,92011,37890,208,0.8584592938423157,0.7651570439338684,1.6702674627304077
8,27852,93265,1,138,101,Normal,8daab439581400f576e6289875861d88,4,5,5,5,0,27,99,4,2011-03-23 16:28:12,2011-04-22 12:41:18,2011-04-08 08:11:07,07th Expansion,Birth of New Witch (Instrumental),Lanttu,57448,184,Umineko no Naku Koro ni Chiru,ep6 luck ganriki yunacat,3,5,197,9.49068,0,0,129620,58221,256,1.0885354280471802,0.9365108609199524,2.1010584831237793
9,27852,93133,1,138,101,Hard,a536642105ea41aa8d29d48b328f06f2,4,7,7,7,0,92,128,4,2011-03-23 16:28:12,2011-04-22 12:41:18,2011-04-08 08:11:07,07th Expansion,Birth of New Witch (Instrumental),Lanttu,57448,184,Umineko no Naku Koro ni Chiru,ep6 luck ganriki yunacat,3,5,197,9.49068,0,0,300830,66829,376,1.5044009685516357,1.3797452449798584,2.946474075317383
10,11739,45279,1,169,137,Red Truth,d0857cab1871c2a262fc2fdf7bbd1b38,4,3,3,3,0,108,66,4,2009-12-29 01:11:53,2011-02-14 06:22:14,2011-02-13 10:26:41,07th Expansion,discolor,Azure_Kyte,66296,160,Umineko no Naku Koro ni Chiru,zts,2,5,184,9.39686,0,0,51248,15215,333,0.9904714226722717,0.9621128439903259,1.9667634963989258
11,11739,44623,1,169,145,Blue Truth,920aa8ca5ad4ade8a1e24edfbb80676a,5,5,5,5,0,259,96,6,2009-12-29 01:11:53,2011-02-14 06:22:14,2011-02-13 10:26:41,07th Expansion,discolor,Azure_Kyte,66296,160,Umineko no Naku Koro ni Chiru,zts,2,5,184,9.39686,0,0,103440,19570,505,1.3701931238174438,1.4414453506469727,2.847264528274536
12,11739,45278,1,169,145,Gold Truth,6c52faa74cbe149369036b2e7e793e7a,5,8,8,7,0,324,113,5,2009-12-29 01:11:53,2011-02-14 06:22:14,2011-02-13 10:26:41,07th Expansion,discolor,Azure_Kyte,66296,160,Umineko no Naku Koro ni Chiru,zts,2,5,184,9.39686,0,0,187893,29746,584,2.2054684162139893,1.8169245719909668,4.216664791107178
13,22333,81007,2,337,317,Collab,4b0631a98184d1353a388cf11bc4e949,4,8,8,6,0,534,430,4,2010-11-09 15:15:51,2010-12-25 23:31:43,2010-12-16 18:56:04,07th Expansion,Dread of the Grave,y u c a,93392,160,Umineko no Naku Koro ni,mellon quintitem tsuka natteke ignorethis,2,5,44,9.60317,0,0,84861,12236,1524,2.1028382778167725,2.078868865966797,4.193691730499268
14,29394,107023,1,173,125,Mukku's Easy,e2e9ce244e70d9c05f2a108d43c700c2,3,1,2,3,0,69,57,1,2011-04-25 20:22:47,2012-01-25 17:00:38,2012-01-17 21:00:44,07th Expansion,Dread of the grave -More fear-,Lanttu,57448,156,Umineko no Naku Koro ni,chiru yune mukku theowest,2,5,67,9.24794,0,0,19027,8701,238,0.7762226462364197,0.6998764276504517,1.5142720937728882
15,29394,101883,1,173,124,Normal,679bf25e95a9b383e9b42ada5bc30dbb,4,2,4,3,0,51,115,1,2011-04-25 20:22:47,2012-01-25 17:00:38,2012-01-17 21:00:44,07th Expansion,Dread of the grave -More fear-,Lanttu,57448,156,Umineko no Naku Koro ni,chiru yune mukku theowest,2,5,67,9.24794,0,0,36080,14391,326,1.175345778465271,0.9384430050849915,2.2322402000427246
16,29394,103669,1,173,110,theowest's Hard,3cee331843fac87eb9cbef3b817102dc,4,6,7,5,0,104,160,0,2011-04-25 20:22:47,2012-01-25 17:00:38,2012-01-17 21:00:44,07th Expansion,Dread of the grave -More fear-,Lanttu,57448,156,Umineko no Naku Koro ni,chiru yune mukku theowest,2,5,67,9.24794,0,0,51267,15549,470,1.5681029558181763,1.4300925731658936,3.0672006607055664
17,29394,97531,1,173,134,Insane,d61645356d021c4d1cda0358ae7bd0ad,5,8,8,6,0,233,145,2,2011-04-25 20:22:47,2012-01-25 17:00:38,2012-01-17 21:00:44,07th Expansion,Dread of the grave -More fear-,Lanttu,57448,156,Umineko no Naku Koro ni,chiru yune mukku theowest,2,5,67,9.24794,0,0,67865,18665,554,1.8989228010177612,1.9173928499221802,3.8255507946014404
18,16258,58810,1,201,173,Normal,6e5fd2d5de35b28432fa0a319aacdca6,3,5,5,4,0,136,95,6,2010-05-26 11:30:44,2010-06-22 00:20:10,2010-06-22 00:17:55,07th Expansion,dreamenddischarger,AngelHoney,104401,140,Umineko no Naku Koro ni,zts AHO,2,5,137,9.36679,0,0,85443,33963,409,0.8077962398529053,0.9580915570259094,1.8410354852676392
19,16258,58360,1,201,192,Hard,f88397a780eee8e626b3c0160a31d965,4,7,7,5,0,281,244,4,2010-05-26 11:30:44,2010-06-22 00:20:10,2010-06-22 00:17:55,07th Expansion,dreamenddischarger,AngelHoney,104401,140,Umineko no Naku Koro ni,zts AHO,2,5,137,9.36679,0,0,206106,42191,812,1.5697304010391235,1.7244232892990112,3.371500253677368
20,16258,58361,1,201,195,Insane,364b598eb3b8c5956a3fb6d7739e86b7,4,8,8,5,0,435,217,7,2010-05-26 11:30:44,2010-06-22 00:20:10,2010-06-22 00:17:55,07th Expansion,dreamenddischarger,AngelHoney,104401,140,Umineko no Naku Koro ni,zts AHO,2,5,137,9.36679,0,0,215409,50708,912,2.001866579055786,2.1196815967559814,4.180455684661865
21,17425,62461,1,187,145,Easy,fa7b0dbb174748094b6d9f4f150fa392,4,4,4,3,0,48,76,8,2010-06-27 17:26:18,2010-08-01 22:36:08,2010-08-01 22:31:16,07th Expansion,dreamenddischarger,[DBF],61866,140,Umineko no Naku Koro ni,visual novel when they cry,2,5,73,9.11536,0,0,36620,15796,230,0.7843413949012756,0.7679356932640076,1.5604798793792725
22,17425,62162,1,232,197,Normal,64e4226e56acc9def587c2f2f886d266,4,5,5,5,0,90,173,6,2010-06-27 17:26:18,2010-08-01 22:36:08,2010-08-01 22:31:16,07th Expansion,dreamenddischarger,[DBF],61866,140,Umineko no Naku Koro ni,visual novel when they cry,2,5,73,9.11536,0,0,64889,21593,525,1.0592849254608154,1.0374317169189453,2.1076431274414062
23,17425,62161,1,232,199,Hard,9fcefe85e4b00d95b3074acfa3a4c6ab,4,7,7,7,0,198,226,5,2010-06-27 17:26:18,2010-08-01 22:36:08,2010-08-01 22:31:16,07th Expansion,dreamenddischarger,[DBF],61866,140,Umineko no Naku Koro ni,visual novel when they cry,2,5,73,9.11536,0,0,132486,23370,842,1.6661078929901123,2.0839319229125977,3.958951950073242
24,29886,100024,1,201,168,Normal,11d0656d8a87e34993a0b4b7149afc47,3,3,4,2,0,104,113,5,2011-05-06 12:58:29,2012-06-06 12:47:31,2012-06-06 12:43:09,07th Expansion,dreamenddischarger,Regou,419954,140,Umineko no Naku Koro ni,evil_twilight wmfchris when they cry zts,2,5,56,9.33145,0,0,22155,8775,410,0.8981359601020813,0.9140743017196655,1.8201794624328613
25,29886,100022,1,201,187,Evil's Hard,31f484f69ac839c6193fba0ba11d3ad9,4,5,7,6,0,185,245,2,2011-05-06 12:58:29,2012-06-06 12:47:31,2012-06-06 12:43:09,07th Expansion,dreamenddischarger,Regou,419954,140,Umineko no Naku Koro ni,evil_twilight wmfchris when they cry zts,2,5,56,9.33145,0,0,49874,11528,751,1.5565218925476074,1.4764490127563477,3.073007345199585
