,approved,approved_date,artist,audio_unavailable,beatmap_id,beatmapset_id,bpm,count_normal,count_slider,count_spinner,creator,creator_id,diff_aim,diff_approach,diff_drain,diff_overall,diff_size,diff_speed,difficultyrating,download_unavailable,favourite_count,file_md5,genre_id,hit_length,language_id,last_update,max_combo,mode,passcount,playcount,rating,source,submit_date,tags,title,total_length,version
0,1,2019-09-02 22:20:02,Cranky,0,2145787,978694,145,253,209,8,Mao,2204515,1.88956,8,4,7,3.4,1.65361,3.66114,0,53,ab85226c65c0e79f1afde53298317bd8,10,200,5,2019-08-25 18:08:57,797,0,4662,13824,8.96552,osu!,2019-05-28 14:06:08,record5-speed rhythm game featured artist fa mappers' guild mg nao tomori naotoshi,Amanojaku,242,Hard
1,1,2019-09-02 22:20:02,Cranky,0,2145788,978694,145,473,261,0,Mao,2204515,2.31636,8.7,5,7.5,4,2.22725,4.58817,0,53,d511ddea683b4d50d1c0557e1af53d5c,10,202,5,2019-08-25 18:08:57,1040,0,2070,13239,8.96552,osu!,2019-05-28 14:06:08,record5-speed rhythm game featured artist fa mappers' guild mg nao tomori naotoshi,Amanojaku,243,Nao's Insane
2,1,2019-09-02 22:20:02,Cranky,0,2048161,978694,145,823,191,1,Mao,2204515,2.74791,9.3,6,8.3,4,2.72516,5.48445,0,53,1925cb5743535ff1eec647bf8f209f8f,10,214,5,2019-08-25 18:08:57,1329,0,990,12780,8.96552,osu!,2019-05-28 14:06:08,record5-speed rhythm game featured artist fa mappers' guild mg nao tomori naotoshi,Amanojaku,243,Expert
3,1,2018-11-13 11:40:12,J. Pachelbel,0,1773001,847812,176,26,72,2,lcfc,7322726,0.915722,3,2,3,2.5,0.811697,1.77943,0,51,674c768466e00296f99a5b3d16f497c4,10,80,5,2018-11-04 05:01:17,207,0,6516,12879,8.60618,,2018-09-12 13:00:19,fa featured artist mappers' guild electronic classical lowcombofc regou kalibe pishifat,Canon (Cranky Remix),99,Easy
4,1,2018-11-13 11:40:12,J. Pachelbel,0,1773004,847812,176,88,86,0,lcfc,7322726,1.16801,5.5,4,4.5,3.5,1.12065,2.31234,0,51,679752ff69a68b36eb97c56eb346ce70,10,81,5,2018-11-04 05:01:17,292,0,5922,16074,8.60618,,2018-09-12 13:00:19,fa featured artist mappers' guild electronic classical lowcombofc regou kalibe pishifat,Canon (Cranky Remix),100,pishi's Normal
5,1,2018-11-13 11:40:12,J. Pachelbel,0,1773003,847812,176,99,152,0,lcfc,7322726,1.6654,7.8,5,6.5,4,1.72237,3.41626,0,51,aaabeaf99578b98694f6ea57d5dc0e3c,10,81,5,2018-11-04 05:01:17,430,0,8460,26532,8.60618,,2018-09-12 13:00:19,fa featured artist mappers' guild electronic classical lowcombofc regou kalibe pishifat,Canon (Cranky Remix),100,Kalibe's Hard
6,1,2018-11-13 11:40:12,J. Pachelbel,0,1773005,847812,176,188,134,0,lcfc,7322726,2.44222,9,5.7,8,4,2.27515,4.8009,0,51,75cc7d3381a173218439ac024b10bcd8,10,81,5,2018-11-04 05:01:17,489,0,4554,30690,8.60618,,2018-09-12 13:00:19,fa featured artist mappers' guild electronic classical lowcombofc regou kalibe pishifat,Canon (Cranky Remix),100,Collab Insane
7,1,2018-11-13 11:40:12,J. Pachelbel,0,1773002,847812,176,230,160,0,lcfc,7322726,2.8846,9.2,6,8.3,4.2,2.41855,5.53618,0,51,1685084ffe41b87bb8ff770a04d74964,10,82,5,2018-11-04 05:01:17,553,0,3501,31410,8.60618,,2018-09-12 13:00:19,fa featured artist mappers' guild electronic classical lowcombofc regou kalibe pishifat,Canon (Cranky Remix),100,Extra
8,1,2018-05-12 07:00:10,Cranky,0,1582617,751785,110,131,161,2,Mao,2204515,0.985005,3.5,3.2,3.2,2.2,0.965531,1.96027,0,124,ecb10ffc92d099b41ab613262b082dd1,10,228,5,2018-05-09 23:05:49,563,0,4950,13023,9.20041,osu!,2018-03-20 20:31:09,fa featured artist kibbleru gero mappers' guild feline groove bubbles crankyとpico hiroshi watanabe,Chandelier - King,239,Easy
9,1,2018-05-12 07:00:10,Cranky,0,1582620,751785,110,143,239,1,Mao,2204515,1.03741,5,3,4,3,1.03828,2.07612,0,124,c9676e1c5778ed0660080de5cdc26734,10,228,5,2018-05-09 23:05:49,736,0,9117,19323,9.20041,osu!,2018-03-20 20:31:09,fa featured artist kibbleru gero mappers' guild feline groove bubbles crankyとpico hiroshi watanabe,Chandelier - King,239,Kibbleru's Normal
10,1,2018-05-12 07:00:10,Cranky,0,1582619,751785,110,335,308,3,Mao,2204515,1.87371,7.2,5.2,6.2,3.5,1.78209,3.70161,0,124,bf6c1a2e81978e9010af1f718795d216,10,226,5,2018-05-09 23:05:49,1053,0,10476,44883,9.20041,osu!,2018-03-20 20:31:09,fa featured artist kibbleru gero mappers' guild feline groove bubbles crankyとpico hiroshi watanabe,Chandelier - King,239,Hard
11,1,2018-05-12 07:00:10,Cranky,0,1582618,751785,110,519,351,2,Mao,2204515,2.41561,9,6,7,4,2.41428,4.83055,0,124,279508e88d7e1b582c7d5dee6b64b7dc,10,217,5,2018-05-09 23:05:49,1516,0,7821,52164,9.20041,osu!,2018-03-20 20:31:09,fa featured artist kibbleru gero mappers' guild feline groove bubbles crankyとpico hiroshi watanabe,Chandelier - King,239,Gero's Insane
12,1,2018-05-12 07:00:10,Cranky,0,1582621,751785,110,813,365,3,Mao,2204515,2.75762,9.2,6.2,8.2,4.2,2.61746,5.44516,0,124,5b35428f4b7023efb7683846576d4c03,10,227,5,2018-05-09 23:05:49,1756,0,4581,39951,9.20041,osu!,2018-03-20 20:31:09,fa featured artist kibbleru gero mappers' guild feline groove bubbles crankyとpico hiroshi watanabe,Chandelier - King,239,Royal
13,1,2018-05-18 07:40:05,Cranky,0,1583058,751972,160,78,101,2,Jounzan,1848318,0.877341,3,2,2,3,0.742958,1.68749,0,62,da97b2112aa5317bff402c419ae532b8,10,159,5,2018-05-09 21:14:35,343,0,3024,6696,8.75912,,2018-03-21 06:47:15,evilelvis v2 featured artist osu! record5-speed mirash pishifat siromaru hiroshi watanabe,CHASER,230,Easy
14,1,2018-05-18 07:40:05,Cranky,0,1583061,751972,160,158,198,3,Jounzan,1848318,1.07935,5,4,4,4,1.11911,2.21834,0,62,5eff6d572017d4450801c75b64adc78d,10,171,5,2018-05-09 21:14:35,577,0,2106,8280,8.75912,,2018-03-21 06:47:15,evilelvis v2 featured artist osu! record5-speed mirash pishifat siromaru hiroshi watanabe,CHASER,229,Normal
15,1,2018-05-18 07:40:05,Cranky,0,1583062,751972,160,216,283,2,Jounzan,1848318,1.58946,8,5,6.5,4,1.70694,3.35515,0,62,1ff9a93e11475ec3210d9cc5f43d345e,10,173,5,2018-05-09 21:14:35,895,0,3123,13869,8.75912,,2018-03-21 06:47:15,evilelvis v2 featured artist osu! record5-speed mirash pishifat siromaru hiroshi watanabe,CHASER,230,pishi's Hard
16,1,2018-05-18 07:40:05,Cranky,0,1583060,751972,160,562,266,1,Jounzan,1848318,2.13261,9,6,7,4,2.1623,4.30976,0,62,0a41d1c27d6f9e17806b205cf42fa4a4,10,177,5,2018-05-09 21:14:35,1142,0,2547,28836,8.75912,,2018-03-21 06:47:15,evilelvis v2 featured artist osu! record5-speed mirash pishifat siromaru hiroshi watanabe,CHASER,230,Collab Insane
17,1,2018-05-18 07:40:05,Cranky,0,1583059,751972,160,818,204,0,Jounzan,1848318,2.85482,9.3,7,9,5,2.78879,5.67662,0,62,c2b6ca82e173c95cdb71dfe9f9da0825,10,179,5,2018-05-09 21:14:35,1260,0,1539,29268,8.75912,,2018-03-21 06:47:15,evilelvis v2 featured artist osu! record5-speed mirash pishifat siromaru hiroshi watanabe,CHASER,229,Collab Extra
18,1,2019-07-13 11:40:02,siromaru + cranky,0,1955675,936126,160,75,68,1,Icekalt,5410645,0.871582,4,2.5,3,2.5,0.818346,1.71655,0,84,d10123b050f4eb16b81c0a24f5ff6b4c,10,124,1,2019-07-05 15:11:55,306,0,4212,10935,8.94419,osu!,2019-03-06 22:29:37,ataraxia mappers guild mpg electronic pico video game sound voltex iii gravity wars bms arcaea,conflict,146,Easy
19,1,2019-07-13 11:40:02,siromaru + cranky,0,1956391,936126,160,82,139,2,Icekalt,5410645,1.08809,5.5,4,4,3,1.02374,2.14401,0,84,f2b3fa6f29e625fc4b5d4359e142f5b5,10,127,1,2019-07-05 15:11:55,393,0,5445,13185,8.94419,osu!,2019-03-06 22:29:37,ataraxia mappers guild mpg electronic pico video game sound voltex iii gravity wars bms arcaea,conflict,146,Normal
