,user_id,challenge_score,username,maps_played
19,6502403,54.9,Lilily,"['51000', '52352', '93382', '93133', '44623', '107023', '103669', '62461', '100024', '100022', '88631', '108396', '100733', '97803', '97683', '92879', '102426', '158377', '66019', '89619', '172564', '1729492', '1728024', '34468', '34606', '33694', '34487', '47962', '47964', '384314', '56812', '56736', '78190', '78980', '40721', '40719', '449542', '449540', '57954', '57955', '554317', '461177', '460585', '1949379', '1949398', '43568', '43553', '85745', '85744', '1690530', '59191', '59192', '1302836', '2125262', '1345364', '1324311', '1410088', '35838', '35778', '35776', '1657924', '139227', '1861098', '1860936', '419859', '1634883', '1461686', '1905340', '1894749', '1894444', '786553', '696177', '208357', '169612', '169611', '167261']"
34,3792472,30.5,Woey,"['51000', '44623', '103669', '177713', '108399', '158376', '35032', '1791372', '33694', '56736', '69186', '40719', '57955', '460585', '1949379', '1949398', '43568', '43553', '1690530', '59514', '59192', '45180', '1345364', '1370805', '1324311', '35838', '35778', '35776', '1657925', '1657923', '1657924', '1860936', '1457087', '169612']"
8,7601598,29.25,domplayer,"['51000', '52128', '117232', '274506', '120864', '131840', '65381', '95864', '53763', '1728024', '1728260', '34487', '69186', '40720', '554317', '544196', '535131', '517595', '84566', '88308', '45180', '1370805', '1439489', '35776', '1657923', '1657926', '1894749', '1894443', '758167', '169612', '169611']"
7,9119507,15.0,Dada,"['44623', '103669', '97531', '62161', '89620', '1949380', '59514', '1657924', '2101503', '1874842', '935402', '134472', '1858801', '1457087', '1894444']"
2,7119659,14.3,Amuro,"['117232', '131840', '91198', '53763', '1853547', '34487', '535131', '1949398', '1949380', '45180', '53759', '1657926', '1894443', '758167', '167261']"
1,6373382,10.7,AmericanPenguin,"['52922', '52372', '52352', '114145', '78367', '97683', '34468', '47962', '69186', '40720', '59192', '139227', '1902670', '786553', '208357']"
3,6404027,7.0,Bartek22830,"['49612', '102426', '1768374', '78981', '1858802', '1383875', '1383876']"
9,5370153,4.0,Exarch,"['1663161', '1451093', '693412', '682520']"
33,12534498,3.0,Geuse,"['103669', '1949398', '1728826']"
15,5155973,3.0,Rizer,"['1728826', '1663161', '1858801']"
36,6362900,2.0,mook,"['1728260', '1894749']"
37,9622163,2.0,sut_son,"['460474', '1345365']"
21,6036351,2.0,M I L E S,"['77996', '1894443']"
16,4384207,2.0,DigitalHypno,"['121197', '1791372']"
30,7910282,1.0,ddm,['1610189']
28,3543130,1.0,twoj stary,['1684136']
27,6399568,1.0,YokesPai,['1791372']
0,4844496,1.0,Conyoh,['1684136']
20,7959222,1.0,majoreh,['758298']
18,4595465,1.0,lespi6,['1663161']
4,3274346,1.0,Blairzey,['1345365']
10,4497691,1.0,Fangzy,['1860936']
13,1874761,1.0,hallowatcher,['688886']
17,7010761,1.0,Kingling,['1949380']
11,959763,1.0,Flask,['176342']
31,6119147,0.0,SlimeDrippy,[]
38,4909088,0.0,Will Stetson,[]
5,7941423,0.0,chezbananas,[]
35,2395405,0.0,Marek Marucha,[]
6,4732944,0.0,ChitogeOP,[]
32,3898396,0.0,Eddie-,[]
29,8185366,0.0,Best459,[]
12,3696423,0.0,not very smart,[]
26,2803031,0.0,Vinswag,[]
25,8170186,0.0,twoja stara,[]
24,2212941,0.0,Pein,[]
23,4899393,0.0,pajwoj,[]
22,4262229,0.0,sinn,[]
14,3181083,0.0,AJT,[]
39,7031287,0.0,Yuuki-chan,[]
